ARO,GRUPO,PRECIO,TIPO VEHICULO
13,"HASTA 6""",180.000,AUTO
13,"DESDE 6,5""",200.000,AUTO
13,4X98,230.000,AUTO
14,SELECCIÓN,190.000,AUTO
14,"HCW y Papá Samuel Hasta 6""",200.000,AUTO
14,Pacifico Normal,210.000,AUTO
14,"Colores, Replicas y Desde 6,5""",220.000,AUTO
14,Camioneta,270.000,CAMIONETA
14,P1,250.000,AUTO
15,"Papá Samuel hasta 6,5",250.000,AUTO
15,"Papá Samuel 7 Y 7,5",260.000,AUTO
15,8 Pulgadas,270.000,AUTO
15,"Pacifico, Drift y HCW Normal",270.000,AUTO
15,"Pacifico 8"" y Replicas",280.000,AUTO
15,Camioneta,320.000,CAMIONETA
16,"HCW Hasta 7""",320.000,AUTO
16,"Drift Hasta 7""",330.000,AUTO
16,8 Pulgadas,340.000,AUTO
16,PF06,350.000,AUTO
16,Camioneta,380.000,CAMIONETA
17,AUTO,380.000,AUTO
17,DRIFT,400.000,CAMIONETA
17,HCW,450.000,CAMIONETA
17,PACIFICO,430.000,CAMIONETA
17,TRD,480.000,CAMIONETA
17,TOYOTA,450.000,CAMIONETA
18,AUTO,500.000,AUTO
18,CAMIONETA,550.000,CAMIONETA
18,TOYOTA,550.000,CAMIONETA
20,TODAS,700.000,CAMIONETA